cidade,uf,servico,valor_mensal,capacidade_mb,vigencia_meses,ip_fixo,interface
Sao Jose / Sc (Soo),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Campo Grande / Ms (Cpe),MS,IP BANDA LARGA,0.01,10,0,0,FIBRA
Curitiba / Pr (Cta),PR,IP BANDA LARGA,0.01,10,0,0,FIBRA
Florianopolis / Sc (Fns),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Sao Jose / Sc (Soo),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Rio Do Sul / Sc (Rsl),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Otacilio Costa / Sc (Oto),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Lages / Sc (Lgs),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Joinville / Sc (Jve),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Itajai / Sc (Iai),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Florianopolis / Sc (Fns),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Florianopolis / Sc (Fns),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Florianopolis / Sc (Fns),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Criciuma / Sc (Cua),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Chapeco / Sc (Cco),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Campo Grande / Ms (Cpe),MS,IP BANDA LARGA,0.01,10,0,0,FIBRA
Brusque / Sc (Bqe),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Blumenau / Sc (Bnu),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Florianopolis / Sc (Fns),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Florianopolis / Sc (Fns),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Curitiba / Pr (Cta),PR,IP BANDA LARGA,0.01,10,0,0,FIBRA
Curitiba / Pr (Cta),PR,IP BANDA LARGA,0.01,10,0,0,FIBRA
Sao Jose / Sc (Soo),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Guarapuava / Pr (Grp),PR,IP BANDA LARGA,0.01,10,0,0,FIBRA
Curitiba / Pr (Cta),PR,IP BANDA LARGA,0.01,10,0,0,FIBRA
Florianopolis / Sc (Fns),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Campo Grande / Ms (Cpe),MS,IP BANDA LARGA,0.01,10,0,0,FIBRA
Curitiba / Pr (Cta),PR,IP BANDA LARGA,0.01,10,0,0,FIBRA
Curitiba / Pr (Cta),PR,IP BANDA LARGA,0.01,10,0,0,FIBRA
Sao Jose / Sc (Soo),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Curitiba / Pr (Cta),PR,IP BANDA LARGA,0.01,10,0,0,FIBRA
Florianopolis / Sc (Fns),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Campo Grande / Ms (Cpe),MS,IP BANDA LARGA,0.01,10,0,0,FIBRA
Florianopolis / Sc (Fns),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Campo Grande / Ms (Cpe),MS,IP BANDA LARGA,0.01,10,0,0,FIBRA
Florianopolis / Sc (Fns),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Florianopolis / Sc (Fns),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Campo Grande / Ms (Cpe),MS,IP BANDA LARGA,0.01,10,0,0,FIBRA
Florianopolis / Sc (Fns),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Campo Grande / Ms (Cpe),MS,IP BANDA LARGA,0.01,10,0,0,FIBRA
Florianopolis / Sc (Fns),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Lages / Sc (Lgs),SC,IP BANDA LARGA,0.01,10,0,0,FIBRA
Pato Branco / Pr (Pbc),PR,IP BANDA LARGA,0.01,10,0,0,FIBRA
Curitiba / Pr (Cta),PR,IP BANDA LARGA,0.01,10,0,0,FIBRA
Ponta Grossa / Pr (Pgo),PR,IP BANDA LARGA,0.01,10,0,0,FIBRA
Entre Rios Do Sul / Rs (Eri),RS,IP DEDICADO,250.0,50,0,0,FIBRA
Barao Do Triunfo / Rs (Batu),RS,IP DEDICADO,250.0,100,0,0,FIBRA
Morro Redondo / Rs (Mrf),RS,L2L LAST MILE,300.0,52,0,0,FIBRA
Manoel Viana / Rs (Mava),RS,IP DEDICADO,250.0,52,0,0,FIBRA
Morro Redondo / Rs (Mrf),RS,L2L LAST MILE,300.0,52,0,0,FIBRA
Santa Rosa / Rs (Sro),RS,IP BANDA LARGA,110.0,400,0,0,FIBRA
Santa Rosa / Rs (Sro),RS,IP BANDA LARGA,110.0,400,0,0,FIBRA
Santa Rosa / Rs (Sro),RS,IP BANDA LARGA,110.0,400,0,0,FIBRA
Santa Rosa / Rs (Sro),RS,IP BANDA LARGA,110.0,400,0,,FIBRA
Santa Rosa / Rs (Sro),RS,IP BANDA LARGA,110.0,400,0,0,FIBRA
Aracaju / Se (Aju),SE,IP BANDA LARGA,200.0,300,0,32,FIBRA
Aracaju / Se (Aju),SE,IP BANDA LARGA,200.0,300,0,32,FIBRA
Aracaju / Se (Aju),SE,IP BANDA LARGA,200.0,300,0,32,FIBRA
Aracaju / Se (Aju),SE,IP BANDA LARGA,110.0,300,0,0,FIBRA
Aracaju / Se (Aju),SE,IP BANDA LARGA,200.0,300,0,32,FIBRA
Rio De Janeiro / Rj (Rjo),RJ,IP DEDICADO,450.0,50,0,,FIBRA
Aracariguama / Sp (Arem),SP,IP DEDICADO,0.0,202,0,0,FIBRA
Maracanau / Ce (Mcw),CE,IP BANDA LARGA,89.9,10,0,,FIBRA
Sao Cristovao / Se (Scv),SE,IP BANDA LARGA,89.9,10,0,,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,89.9,10,0,,FIBRA
Apucarana / Pr (Apu),PR,IP BANDA LARGA,89.9,10,0,,FIBRA
Teresina / Pi (Tsa),PI,IP BANDA LARGA,89.9,10,0,,FIBRA
Teresina / Pi (Tsa),PI,IP BANDA LARGA,89.9,10,0,,FIBRA
Campo Grande / Ms (Cpe),MS,IP BANDA LARGA,89.9,10,0,,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,89.9,10,0,,FIBRA
Aracaju / Se (Aju),SE,IP BANDA LARGA,89.9,10,0,,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,89.9,10,0,,FIBRA
Franca / Sp (Fac),SP,IP BANDA LARGA,89.9,10,0,,FIBRA
Campo Grande / Ms (Cpe),MS,IP BANDA LARGA,89.9,10,0,,FIBRA
Sao Luis / Ma (Sls),MA,IP BANDA LARGA,89.9,10,0,,FIBRA
Vitoria / Es (Vta),ES,IP BANDA LARGA,89.9,10,0,,FIBRA
Teresina / Pi (Tsa),PI,IP BANDA LARGA,89.9,10,0,,FIBRA
Sao Luis / Ma (Sls),MA,IP BANDA LARGA,89.9,10,0,,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,89.9,10,0,,FIBRA
Recife / Pe (Rce),PE,IP BANDA LARGA,89.9,10,0,,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,89.9,10,0,,FIBRA
Sao Luis / Ma (Sls),MA,IP BANDA LARGA,89.9,10,0,,FIBRA
Sao Luis / Ma (Sls),MA,IP BANDA LARGA,89.9,10,0,,FIBRA
Campo Grande / Ms (Cpe),MS,IP BANDA LARGA,89.9,10,0,,FIBRA
Teresina / Pi (Tsa),PI,IP BANDA LARGA,89.9,10,0,,FIBRA
Campo Grande / Ms (Cpe),MS,IP BANDA LARGA,89.9,10,0,,FIBRA
Maringa / Pr (Mga),PR,IP BANDA LARGA,89.9,10,0,,FIBRA
Uberlandia / Mg (Ula),MG,IP BANDA LARGA,89.9,10,0,,FIBRA
Passos / Mg (Pso),MG,IP BANDA LARGA,89.9,10,0,,FIBRA
Guapimirim / Rj (Gupm),RJ,IP BANDA LARGA,89.9,10,0,,FIBRA
Ipojuca / Pe (Ipj),PE,IP BANDA LARGA,89.9,10,0,,FIBRA
Mogi Das Cruzes / Sp (Mcz),SP,IP BANDA LARGA,89.9,10,0,,FIBRA
Aracaju / Se (Aju),SE,IP BANDA LARGA,89.9,10,0,,FIBRA
Caxias Do Sul / Rs (Csl),RS,IP BANDA LARGA,89.9,10,0,,FIBRA
Sao Joao Batista Do Gloria / Mg (Sbg),MG,IP BANDA LARGA,89.9,10,0,,FIBRA
Vila Velha / Es (Vva),ES,IP BANDA LARGA,89.9,10,0,,FIBRA
Macapa / Ap (Mpa),AP,IP BANDA LARGA,89.9,10,0,,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,89.9,10,0,,FIBRA
Campos Dos Goytacazes / Rj (Cps),RJ,IP BANDA LARGA,89.9,10,0,,FIBRA
Teresina / Pi (Tsa),PI,IP BANDA LARGA,89.9,10,0,,FIBRA
Teresina / Pi (Tsa),PI,IP BANDA LARGA,89.9,10,0,,FIBRA
Dourados / Ms (Dos),MS,IP BANDA LARGA,89.9,10,0,,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,89.9,10,0,,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,89.9,10,0,,FIBRA
Santos / Sp (Sts),SP,IP BANDA LARGA,89.9,10,0,,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,89.9,10,0,,FIBRA
Sao Paulo / Sp (Spo),SP,IP BANDA LARGA,89.9,10,0,,FIBRA
Campo Grande / Ms (Cpe),MS,IP BANDA LARGA,89.9,10,0,,FIBRA
Passos / Mg (Pso),MG,IP BANDA LARGA,89.9,10,0,,FIBRA
Imperatriz / Ma (Itz),MA,IP BANDA LARGA,89.9,10,0,,FIBRA
Vila Velha / Es (Vva),ES,IP BANDA LARGA,89.9,10,0,,FIBRA
Cataguases / Mg (Cgs),MG,IP BANDA LARGA,89.9,10,0,,FIBRA
Campo Grande / Ms (Cpe),MS,IP BANDA LARGA,89.9,10,0,,FIBRA
Campo Grande / Ms (Cpe),MS,IP BANDA LARGA,89.9,10,0,,FIBRA
Brejo Santo / Ce (Bjs),CE,IP BANDA LARGA,89.9,10,0,,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,89.9,10,0,,FIBRA
Campo Grande / Ms (Cpe),MS,IP BANDA LARGA,89.9,10,0,,FIBRA
Belo Horizonte / Mg (Bhe),MG,IP BANDA LARGA,89.9,10,0,,FIBRA
Diadema / Sp (Dda),SP,IP BANDA LARGA,89.9,10,0,,FIBRA
Campo Grande / Ms (Cpe),MS,IP BANDA LARGA,89.9,10,0,,FIBRA
Russas / Ce (Rus),CE,IP BANDA LARGA,89.9,10,0,,FIBRA
Santos / Sp (Sts),SP,IP BANDA LARGA,89.9,10,0,,FIBRA
Maringa / Pr (Mga),PR,IP BANDA LARGA,89.9,10,0,,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,89.9,10,0,,FIBRA
Aracaju / Se (Aju),SE,IP BANDA LARGA,89.9,10,0,,FIBRA
Campo Mourao / Pr (Cpm),PR,IP BANDA LARGA,89.9,10,0,,FIBRA
Campo Mourao / Pr (Cpm),PR,IP BANDA LARGA,89.9,10,0,,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,89.9,10,0,,FIBRA
Campo Grande / Ms (Cpe),MS,IP BANDA LARGA,89.9,10,0,,FIBRA
Caraguatatuba / Sp (Cgt),SP,IP BANDA LARGA,89.9,10,0,,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,89.9,10,0,,FIBRA
Santos / Sp (Sts),SP,IP BANDA LARGA,89.9,10,0,,FIBRA
Cruz Alta / Rs (Cza),RS,L2L LAST MILE,400.0,50,0,0,FIBRA
Sao Gabriel / Rs (Sgb),RS,IP DEDICADO,450.0,50,0,0,FIBRA
Sao Gabriel / Rs (Sgb),RS,L2L LAST MILE,450.0,50,0,0,FIBRA
Curitiba / Pr (Cta),PR,L2L LAST MILE,0.01,200,0,0,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,223.0,50,36,/32,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,223.0,50,36,/32,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,138.0,50,0,0,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,138.0,50,0,0,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,138.0,50,0,0,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,223.0,50,36,/32,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,223.0,50,36,/32,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,223.0,50,36,/32,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,223.0,50,36,/32,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,223.0,50,36,/32,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,138.0,50,0,0,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,223.0,50,36,/32,FIBRA
Rio De Janeiro / Rj (Rjo),RJ,IP BANDA LARGA,180.0,100,0,0,FIBRA
Apucarana / Pr (Apu),PR,IP BANDA LARGA,100.0,10,0,0,FIBRA
Assis Chateaubriand / Pr (Asd),PR,IP DEDICADO,110.0,10,0,0,FIBRA
Porto Alegre / Rs (Pae),RS,L2L LAST MILE,350.0,100,0,0,FIBRA
Porto Alegre / Rs (Pae),RS,IP DEDICADO,280.0,30,0,L2L,FIBRA
Boa Esperanca / Es (Bap),ES,IP DEDICADO,400.0,52,0,0,FIBRA
Marilandia / Es (Mrw),ES,IP DEDICADO,697.0,52,0,0,FIBRA
Uberaba / Mg (Ura),MG,IP DEDICADO,549.0,52,0,0,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,100.96,10,0,,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,,FIBRA
Sao Luis / Ma (Sls),MA,IP BANDA LARGA,101.01,10,0,,FIBRA
Juiz De Fora / Mg (Jfa),MG,IP BANDA LARGA,104.59,10,0,0,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,0,FIBRA
Joao Pessoa / Pb (Jpa),PB,IP BANDA LARGA,100.96,10,0,,FIBRA
Sao Luis / Ma (Sls),MA,IP BANDA LARGA,101.01,10,0,0,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,100.96,10,0,,FIBRA
Macapa / Ap (Mpa),AP,IP BANDA LARGA,101.06,10,0,,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,100.96,10,0,0,FIBRA
Natal / Rn (Ntl),RN,IP BANDA LARGA,100.96,10,0,,FIBRA
Teresina / Pi (Tsa),PI,IP BANDA LARGA,100.96,10,0,0,FIBRA
Teresina / Pi (Tsa),PI,IP BANDA LARGA,100.96,10,0,0,FIBRA
Joao Pessoa / Pb (Jpa),PB,IP BANDA LARGA,100.96,10,0,0,FIBRA
Belem / Pa (Blm),PA,IP BANDA LARGA,101.01,10,0,,FIBRA
Goiania / Go (Gna),GO,IP BANDA LARGA,100.96,10,0,,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,100.96,10,0,,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,100.96,10,0,,FIBRA
Manaus / Am (Mns),AM,IP BANDA LARGA,101.01,10,0,0,FIBRA
Belem / Pa (Blm),PA,IP BANDA LARGA,101.01,10,0,,FIBRA
Sao Luis / Ma (Sls),MA,IP BANDA LARGA,101.01,10,0,0,FIBRA
Palmas / To (Pmj),TO,IP BANDA LARGA,101.01,10,0,0,FIBRA
Sao Luis / Ma (Sls),MA,IP BANDA LARGA,101.01,10,0,,FIBRA
Campo Grande / Ms (Cpe),MS,IP BANDA LARGA,101.01,10,0,,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,100.96,10,0,0,FIBRA
Boa Vista / Rr (Bva),RR,IP BANDA LARGA,101.06,10,0,0,FIBRA
Boa Vista / Rr (Bva),RR,IP BANDA LARGA,101.06,10,0,0,FIBRA
Belem / Pa (Blm),PA,IP BANDA LARGA,101.01,10,0,0,FIBRA
Belo Horizonte / Mg (Bhe),MG,IP BANDA LARGA,104.57,10,0,,FIBRA
Sao Luis / Ma (Sls),MA,IP BANDA LARGA,101.01,10,0,,FIBRA
Sao Luis / Ma (Sls),MA,IP BANDA LARGA,101.01,10,0,0,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,,FIBRA
Macapa / Ap (Mpa),AP,IP BANDA LARGA,101.06,10,0,,FIBRA
Boa Vista / Rr (Bva),RR,IP BANDA LARGA,101.06,10,0,0,FIBRA
Belem / Pa (Blm),PA,IP BANDA LARGA,101.01,10,0,0,FIBRA
Boa Vista / Rr (Bva),RR,IP BANDA LARGA,101.06,10,0,0,FIBRA
Teresina / Pi (Tsa),PI,IP BANDA LARGA,100.95,10,0,0,FIBRA
Belem / Pa (Blm),PA,IP BANDA LARGA,101.01,10,0,,FIBRA
Santa Ines / Ma (Sis),MA,IP BANDA LARGA,101.01,10,0,,FIBRA
Cacoal / Ro (Cwl),RO,IP BANDA LARGA,101.06,10,0,0,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,101.06,10,0,,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,,FIBRA
Boa Vista / Rr (Bva),RR,IP BANDA LARGA,101.06,10,0,0,FIBRA
Macapa / Ap (Mpa),AP,IP BANDA LARGA,101.06,10,0,0,FIBRA
Rio Branco / Ac (Rbo),AC,IP BANDA LARGA,101.06,10,0,0,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,100.96,10,0,0,FIBRA
Rio De Janeiro / Rj (Rjo),RJ,IP BANDA LARGA,141.71,10,0,0,FIBRA
Boa Vista / Rr (Bva),RR,IP BANDA LARGA,101.06,10,0,0,FIBRA
Porto Velho / Ro (Pvo),RO,IP BANDA LARGA,101.01,10,0,0,FIBRA
Manaus / Am (Mns),AM,IP BANDA LARGA,101.01,10,0,0,FIBRA
Rio Branco / Ac (Rbo),AC,IP BANDA LARGA,101.06,10,0,0,FIBRA
Boa Vista / Rr (Bva),RR,IP BANDA LARGA,101.06,10,0,0,FIBRA
Sao Luis / Ma (Sls),MA,IP BANDA LARGA,101.01,10,0,0,FIBRA
Goiania / Go (Gna),GO,IP BANDA LARGA,100.96,10,0,,FIBRA
Curitiba / Pr (Cta),PR,IP BANDA LARGA,115.79,10,0,0,FIBRA
Goiania / Go (Gna),GO,IP BANDA LARGA,100.96,10,0,0,FIBRA
Sao Luis / Ma (Sls),MA,IP BANDA LARGA,101.01,10,0,,FIBRA
Campo Grande / Ms (Cpe),MS,IP BANDA LARGA,101.01,10,0,,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,0,FIBRA
Boa Vista / Rr (Bva),RR,IP BANDA LARGA,101.06,10,0,0,FIBRA
Natal / Rn (Ntl),RN,IP BANDA LARGA,100.96,10,0,0,FIBRA
Teresina / Pi (Tsa),PI,IP BANDA LARGA,100.96,10,0,0,FIBRA
Macapa / Ap (Mpa),AP,IP BANDA LARGA,101.06,10,0,0,FIBRA
Itabuna / Ba (Itb),BA,IP BANDA LARGA,100.96,10,0,0,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,0,FIBRA
Barroquinha / Ce (Bqn),CE,IP BANDA LARGA,101.01,10,0,,FIBRA
Sao Luis / Ma (Sls),MA,IP BANDA LARGA,101.01,10,0,,FIBRA
Sao Paulo / Sp (Spo),SP,IP BANDA LARGA,100.92,10,0,,FIBRA
Rio Branco / Ac (Rbo),AC,IP BANDA LARGA,101.06,10,0,0,FIBRA
Boa Vista / Rr (Bva),RR,IP BANDA LARGA,101.06,10,0,0,FIBRA
Piraquara / Pr (Pqa),PR,IP BANDA LARGA,115.79,10,0,,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,,FIBRA
Rio De Janeiro / Rj (Rjo),RJ,IP BANDA LARGA,141.71,10,0,0,FIBRA
Serra / Es (Sea),ES,IP BANDA LARGA,104.59,10,0,,FIBRA
Mansidao / Ba (Mmd),BA,IP BANDA LARGA,101.01,10,0,,FIBRA
Bequimao / Ma (Beq),MA,IP BANDA LARGA,101.01,10,0,0,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,,FIBRA
Lavras / Mg (Lav),MG,IP BANDA LARGA,104.59,10,0,0,FIBRA
Belem / Pa (Blm),PA,IP BANDA LARGA,101.01,10,0,0,FIBRA
Maringa / Pr (Mga),PR,IP BANDA LARGA,115.79,10,0,0,FIBRA
Vitoria Da Conquista / Ba (Vca),BA,IP BANDA LARGA,100.96,10,60,,FIBRA
Feira De Santana / Ba (Fsa),BA,IP BANDA LARGA,101.01,10,0,0,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,,FIBRA
Vilhena / Ro (Vha),RO,IP BANDA LARGA,101.06,10,0,0,FIBRA
Hulha Negra / Rs (Hune),RS,IP BANDA LARGA,115.85,10,0,,FIBRA
Macapa / Ap (Mpa),AP,IP BANDA LARGA,101.06,10,0,0,FIBRA
Boa Vista / Rr (Bva),RR,IP BANDA LARGA,101.06,10,0,0,FIBRA
Belem / Pa (Blm),PA,IP BANDA LARGA,101.01,10,0,,FIBRA
Juiz De Fora / Mg (Jfa),MG,IP BANDA LARGA,104.59,10,0,,FIBRA
Macapa / Ap (Mpa),AP,IP BANDA LARGA,101.06,10,0,0,FIBRA
Macapa / Ap (Mpa),AP,IP BANDA LARGA,101.06,10,0,0,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,,FIBRA
Macapa / Ap (Mpa),AP,IP BANDA LARGA,101.06,10,0,,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,100.96,10,0,0,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,0,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,,FIBRA
Belem / Pa (Blm),PA,IP BANDA LARGA,101.01,10,0,0,FIBRA
Sao Luis / Ma (Sls),MA,IP BANDA LARGA,101.01,10,0,,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,0,FIBRA
Rio De Janeiro / Rj (Rjo),RJ,IP BANDA LARGA,141.71,10,0,0,FIBRA
Teresina / Pi (Tsa),PI,IP BANDA LARGA,100.96,10,0,0,FIBRA
Montes Claros / Mg (Mcl),MG,IP BANDA LARGA,104.65,10,0,0,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,100.96,10,0,0,FIBRA
Curitiba / Pr (Cta),PR,IP BANDA LARGA,115.79,10,0,0,FIBRA
Rio De Janeiro / Rj (Rjo),RJ,IP BANDA LARGA,141.71,10,0,0,FIBRA
Ananindeua / Pa (Aiu),PA,IP BANDA LARGA,101.06,10,0,,FIBRA
Belo Horizonte / Mg (Bhe),MG,IP BANDA LARGA,104.57,10,60,0,FIBRA
Boa Vista / Rr (Bva),RR,IP BANDA LARGA,101.06,10,0,0,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,100.96,10,0,,FIBRA
Sao Luis / Ma (Sls),MA,IP BANDA LARGA,101.01,10,0,0,FIBRA
Rio De Janeiro / Rj (Rjo),RJ,IP BANDA LARGA,141.71,10,0,,FIBRA
Boa Vista / Rr (Bva),RR,IP BANDA LARGA,101.06,10,0,0,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,100.96,10,0,,FIBRA
Natal / Rn (Ntl),RN,IP BANDA LARGA,100.96,10,0,0,FIBRA
Natal / Rn (Ntl),RN,IP BANDA LARGA,100.96,10,0,0,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,100.96,10,0,,FIBRA
Curitiba / Pr (Cta),PR,IP BANDA LARGA,115.79,10,0,,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,100.96,10,0,,FIBRA
Recife / Pe (Rce),PE,IP BANDA LARGA,100.96,10,0,0,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,100.96,10,0,0,FIBRA
Sao Jose Dos Campos / Sp (Sjc),SP,IP BANDA LARGA,100.93,10,0,,FIBRA
Tarauaca / Ac (Tau),AC,IP BANDA LARGA,101.06,10,0,,FIBRA
Sao Luis / Ma (Sls),MA,IP BANDA LARGA,101.01,10,0,0,FIBRA
Belem / Pa (Blm),PA,IP BANDA LARGA,101.01,10,0,0,FIBRA
Boa Vista / Rr (Bva),RR,IP BANDA LARGA,101.06,10,0,0,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,0,FIBRA
Joao Pessoa / Pb (Jpa),PB,IP BANDA LARGA,100.96,10,0,,FIBRA
Imperatriz / Ma (Itz),MA,IP BANDA LARGA,101.06,10,0,0,FIBRA
Balneario Camboriu / Sc (Bcu),SC,IP BANDA LARGA,115.85,10,0,0,FIBRA
Belo Horizonte / Mg (Bhe),MG,IP BANDA LARGA,104.57,10,0,0,FIBRA
Recife / Pe (Rce),PE,IP BANDA LARGA,100.96,10,0,0,FIBRA
Belo Horizonte / Mg (Bhe),MG,IP BANDA LARGA,104.57,10,0,0,FIBRA
Goiania / Go (Gna),GO,IP BANDA LARGA,100.96,10,0,0,FIBRA
Sao Luis / Ma (Sls),MA,IP BANDA LARGA,101.01,10,0,0,FIBRA
Recife / Pe (Rce),PE,IP BANDA LARGA,100.96,10,0,0,FIBRA
Vitoria Da Conquista / Ba (Vca),BA,IP BANDA LARGA,100.96,10,60,,FIBRA
Boa Vista / Rr (Bva),RR,IP BANDA LARGA,101.06,10,0,0,FIBRA
Natal / Rn (Ntl),RN,IP BANDA LARGA,100.96,10,0,0,FIBRA
Goiania / Go (Gna),GO,IP BANDA LARGA,100.96,10,0,0,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,0,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,,FIBRA
Natal / Rn (Ntl),RN,IP BANDA LARGA,100.96,10,0,0,FIBRA
Maceio / Al (Mco),AL,IP BANDA LARGA,100.96,10,0,0,FIBRA
Macapa / Ap (Mpa),AP,IP BANDA LARGA,101.06,10,0,0,FIBRA
Sao Paulo / Sp (Spo),SP,IP BANDA LARGA,100.92,10,0,0,FIBRA
Porto Velho / Ro (Pvo),RO,IP BANDA LARGA,101.01,10,0,,FIBRA
Porto Velho / Ro (Pvo),RO,IP BANDA LARGA,101.01,10,0,0,FIBRA
Sao Luis / Ma (Sls),MA,IP BANDA LARGA,101.01,10,0,,FIBRA
Maringa / Pr (Mga),PR,IP BANDA LARGA,115.79,10,0,0,FIBRA
Curitiba / Pr (Cta),PR,IP BANDA LARGA,115.79,10,0,,FIBRA
Recife / Pe (Rce),PE,IP BANDA LARGA,100.96,10,0,0,FIBRA
Fortaleza / Ce (Fla),CE,IP BANDA LARGA,100.96,10,0,0,FIBRA
Natal / Rn (Ntl),RN,IP BANDA LARGA,100.96,10,0,,FIBRA
Brasilia / Df (Bsa),DF,IP BANDA LARGA,100.96,10,0,,FIBRA
