cidade,uf,servico,valor_mensal,capacidade_mb,vigencia_meses,ip_fixo,interface
Rio De Janeiro / Rj (Rjo),RJ,IP DEDICADO,0.0,200,12,30,RÃDIO
Guarulhos,SP,IP DEDICADO,0.0,110,12,29,FIBRA
Guarulhos,SP,IP DEDICADO,0.0,110,12,29,FIBRA
Brasilia / Df (Bsa),DF,IP DEDICADO,400.0,10,0,0,FIBRA
Rio De Janeiro / Rj (Rjo),RJ,IP DEDICADO,350.0,40,0,30,RÃDIO
Brasalia,DF,IP BANDA LARGA,200.0,50,60,32,FIBRA
,,IP BANDA LARGA,200.0,50,60,32,FIBRA
Sarzedo / Mg (Srze),MG,IP DEDICADO,550.0,12,0,30,FIBRA
Caxambu / Mg (Cax),MG,IP DEDICADO,400.0,12,0,30,FIBRA
Sao Paulo,SP,IP DEDICADO,0.0,202,36,/30,RÃDIO
Aracaju,SE,IP DEDICADO,630.0,52,36,30,FIBRA
Porto Alegre,RS,L2L LAST MILE,390.0,50,12,,FIBRA
Limeira / Sp (Lra),SP,IP DEDICADO,0.0,10,0,0,RÃDIO
Sapucaia Do Sul,RS,L2L  LAST MILE,280.0,20,24,,FIBRA
Pomerode / Sc (Pod),SC,IP DEDICADO,200.0,32,0,0,FIBRA
Blumenau / Sc (Bnu),SC,IP DEDICADO,200.0,32,0,0,FIBRA
Itupeva / Sp (Itv),SP,IP DEDICADO,499.0,10,0,0,FIBRA
Rio De Janeiro,RJ,IP DEDICADO,600.0,20,12,32,FIBRA
,,L2L LAST MILE,635.0,0,24,,
Rio De Janeiro,RJ,L2L LAST MILE,635.0,100,24,,FIBRA
Blumenau / Sc (Bnu),SC,IP DEDICADO,275.0,10,0,20,FIBRA
Contagem,MG,L2L LAST MILE,0.01,300,12,,FIBRA
Contagem,MG,L2L LAST MILE,0.01,300,12,,FIBRA
Campinas,SP,IP DEDICADO,450.0,35,36,30,FIBRA
Guarulhos,SP,IP DEDICADO,0.0,110,12,29,FIBRA
Belo Horizonte,MG,L2L LAST MILE | IP DEDICADO,0.01,20,24,,FIBRA
Apiacas,MT,IP DEDICADO | L2L  LAST MILE,900.0,100,12,,FIBRA
Salinas / Mg (Sln),MG,IP BANDA LARGA,169.9,350,0,0,FIBRA
Duque De Caxias,RJ,IP DEDICADO,990.0,300,12,29,RÃDIO
Flores Da Cunha,RS,L2L LAST MILE,920.0,1000,12,,FIBRA
Florianopolis / Sc (Fns),SC,IP BANDA LARGA,90.0,100,0,0,FIBRA
Lages / Sc (Lgs),SC,IP BANDA LARGA,90.0,100,0,0,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,90.0,100,0,0,FIBRA
