Nome Provedor,IP Fixo,Valor Mensal (C/IMP) (R$),Serviço,Cliente Final,Vigência em (Meses),Cidade A,UF A,Interface,Capacidade (MB)
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CURITIBA / PR (CTA),PR,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,BLUMENAU / SC (BNU),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CURITIBA / PR (CTA),PR,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CURITIBA / PR (CTA),PR,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,ARAUCARIA / PR (AUC),PR,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,BALNEARIO CAMBORIU / SC (BCU),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CAPINZAL / SC (CNZ),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,PONTE ALTA DO NORTE / SC (POAN),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CURITIBA / PR (CTA),PR,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CURITIBA / PR (CTA),PR,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CURITIBA / PR (CTA),PR,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FATIMA DO SUL / MS (FSU),MS,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CURITIBA / PR (CTA),PR,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CURITIBA / PR (CTA),PR,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,JOINVILLE / SC (JVE),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,DOURADOS / MS (DOS),MS,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,SAO JOSE / SC (SOO),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CURITIBA / PR (CTA),PR,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,SAO JOSE / SC (SOO),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,RIO DO SUL / SC (RSL),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,OTACILIO COSTA / SC (OTO),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,LAGES / SC (LGS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,JOINVILLE / SC (JVE),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,ITAJAI / SC (IAI),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CRICIUMA / SC (CUA),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CHAPECO / SC (CCO),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,BRUSQUE / SC (BQE),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,BLUMENAU / SC (BNU),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CURITIBA / PR (CTA),PR,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CURITIBA / PR (CTA),PR,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,SAO JOSE / SC (SOO),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,GUARAPUAVA / PR (GRP),PR,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CURITIBA / PR (CTA),PR,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CURITIBA / PR (CTA),PR,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CURITIBA / PR (CTA),PR,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,SAO JOSE / SC (SOO),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CURITIBA / PR (CTA),PR,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,LAGES / SC (LGS),SC,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,PATO BRANCO / PR (PBC),PR,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,CURITIBA / PR (CTA),PR,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,IP BANDA LARGA,BANCO DO BRASIL,0,PONTA GROSSA / PR (PGO),PR,FIBRA,10
GLP INFORMATICA E PROVEDOR DE REDES DE COMUNICACAO LTDA,0,250.00,IP DEDICADO,BR.DIGITAL / CORSAN,0,ENTRE RIOS DO SUL / RS (ERI),RS,FIBRA,50
CONECTSUL - COMERCIO E SERVICOS LTDA.,0,250.00,IP DEDICADO,BR.DIGITAL / CORSAN,0,BARAO DO TRIUNFO / RS (BATU),RS,FIBRA,100
OSIRNET INFO TELECOM LTDA,0,300.00,L2L LAST MILE,BR.DIGITAL / CORSAN,0,MORRO REDONDO / RS (MRF),RS,FIBRA,52
AV3M TELECOM & MULTIMIDIA LTDA,0,250.00,IP DEDICADO,BR.DIGITAL / CORSAN,0,MANOEL VIANA / RS (MAVA),RS,FIBRA,52
OSIRNET INFO TELECOM LTDA,0,300.00,L2L LAST MILE,BR.DIGITAL / CORSAN,0,MORRO REDONDO / RS (MRF),RS,FIBRA,52
LOG INFORMATICA LTDA,0,110.00,IP BANDA LARGA,BANCO DO BRASIL,0,SANTA ROSA / RS (SRO),RS,FIBRA,400
LOG INFORMATICA LTDA,0,110.00,IP BANDA LARGA,BANCO DO BRASIL,0,SANTA ROSA / RS (SRO),RS,FIBRA,400
LOG INFORMATICA LTDA,0,110.00,IP BANDA LARGA,BANCO DO BRASIL,0,SANTA ROSA / RS (SRO),RS,FIBRA,400
LOG INFORMATICA LTDA,,110.00,IP BANDA LARGA,BANCO DO BRASIL,0,SANTA ROSA / RS (SRO),RS,FIBRA,400
LOG INFORMATICA LTDA,0,110.00,IP BANDA LARGA,BANCO DO BRASIL,0,SANTA ROSA / RS (SRO),RS,FIBRA,400
NETIZ INTERNET LTDA,32,200.00,IP BANDA LARGA,BANCO DO BRASIL,0,ARACAJU / SE (AJU),SE,FIBRA,300
NETIZ INTERNET LTDA,32,200.00,IP BANDA LARGA,BANCO DO BRASIL,0,ARACAJU / SE (AJU),SE,FIBRA,300
NETIZ INTERNET LTDA,32,200.00,IP BANDA LARGA,BANCO DO BRASIL,0,ARACAJU / SE (AJU),SE,FIBRA,300
NETIZ INTERNET LTDA,0,110.00,IP BANDA LARGA,BANCO DO BRASIL,0,ARACAJU / SE (AJU),SE,FIBRA,300
NETIZ INTERNET LTDA,32,200.00,IP BANDA LARGA,BANCO DO BRASIL,0,ARACAJU / SE (AJU),SE,FIBRA,300
Ufinet Brasil S/ A,,450.00,IP DEDICADO,SHOPEE-HUB-RIO-06 - LINK SEUNDÁRIO,0,RIO DE JANEIRO / RJ (RJO),RJ,FIBRA,50
G2G SERVICOS DE COMUNICACAO E COMERCIO DE PRODUTOS ELETRONICOS LTDA,0,1.800.00,IP DEDICADO,LUFT,0,ARACARIGUAMA / SP (AREM),SP,FIBRA,202
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,MARACANAU / CE (MCW),CE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,SAO CRISTOVAO / SE (SCV),SE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,APUCARANA / PR (APU),PR,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,TERESINA / PI (TSA),PI,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,TERESINA / PI (TSA),PI,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,ARACAJU / SE (AJU),SE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,FRANCA / SP (FAC),SP,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,SAO LUIS / MA (SLS),MA,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,VITORIA / ES (VTA),ES,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,TERESINA / PI (TSA),PI,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,SAO LUIS / MA (SLS),MA,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,RECIFE / PE (RCE),PE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,SAO LUIS / MA (SLS),MA,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,SAO LUIS / MA (SLS),MA,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,TERESINA / PI (TSA),PI,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,MARINGA / PR (MGA),PR,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,UBERLANDIA / MG (ULA),MG,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,PASSOS / MG (PSO),MG,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,GUAPIMIRIM / RJ (GUPM),RJ,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,IPOJUCA / PE (IPJ),PE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,MOGI DAS CRUZES / SP (MCZ),SP,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,ARACAJU / SE (AJU),SE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,CAXIAS DO SUL / RS (CSL),RS,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,SAO JOAO BATISTA DO GLORIA / MG (SBG),MG,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,VILA VELHA / ES (VVA),ES,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,MACAPA / AP (MPA),AP,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPOS DOS GOYTACAZES / RJ (CPS),RJ,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,TERESINA / PI (TSA),PI,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,TERESINA / PI (TSA),PI,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,DOURADOS / MS (DOS),MS,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,SANTOS / SP (STS),SP,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,SAO PAULO / SP (SPO),SP,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,PASSOS / MG (PSO),MG,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,IMPERATRIZ / MA (ITZ),MA,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,VILA VELHA / ES (VVA),ES,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,CATAGUASES / MG (CGS),MG,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,BREJO SANTO / CE (BJS),CE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,BELO HORIZONTE / MG (BHE),MG,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,DIADEMA / SP (DDA),SP,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,RUSSAS / CE (RUS),CE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,SANTOS / SP (STS),SP,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,MARINGA / PR (MGA),PR,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,ARACAJU / SE (AJU),SE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO MOURAO / PR (CPM),PR,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO MOURAO / PR (CPM),PR,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,CARAGUATATUBA / SP (CGT),SP,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
DB3 SERVICOS DE TELECOMUNICACOES S.A,,89.90,IP BANDA LARGA,BANCO DO BRASIL,0,SANTOS / SP (STS),SP,FIBRA,10
UNIFIQUE TELECOMUNICACOES S/A,0,400.00,L2L LAST MILE,POSTO BUFFON,0,CRUZ ALTA / RS (CZA),RS,FIBRA,50
BRMOM CONSTRUINDO CONEXOES LTDA,0,450.00,IP DEDICADO,POSTO BUFFON LOJA 90,0,SAO GABRIEL / RS (SGB),RS,FIBRA,50
BRMOM CONSTRUINDO CONEXOES LTDA,0,450.00,L2L LAST MILE,POSTO BUFFON,0,SAO GABRIEL / RS (SGB),RS,FIBRA,50
ACESSOLINE TELECOMUNICACOES LTDA,0,0.01,L2L LAST MILE,AADVANCE,0,CURITIBA / PR (CTA),PR,FIBRA,200
A N NET SERVICOS RESIDENCIAIS LTDA,/32,223.00,IP BANDA LARGA,BANCO DO BRASIL,36,SALVADOR / BA (SDR),BA,FIBRA,50
A N NET SERVICOS RESIDENCIAIS LTDA,/32,223.00,IP BANDA LARGA,BANCO DO BRASIL,36,SALVADOR / BA (SDR),BA,FIBRA,50
A N NET SERVICOS RESIDENCIAIS LTDA,0,138.00,IP BANDA LARGA,BANCO DO BRASIL,0,SALVADOR / BA (SDR),BA,FIBRA,50
