Nome Provedor,IP Fixo,Valor Mensal (C/IMP) (R$),Serviço,Cliente Final,Vigência em (Meses),Cidade A,UF A,Interface,Capacidade (MB)
SIDI SERVICOS DE COMUNICACAO LTDA,0,299.00,IP BANDA LARGA,DIRECIONAL,0,MANAUS / AM (MNS),AM,FIBRA,100
SIDI SERVICOS DE COMUNICACAO LTDA,0,220.00,IP BANDA LARGA,DIRECIONAL,0,MANAUS / AM (MNS),AM,FIBRA,100
UNIVERSAL TELECOM S.A.,30,2.250.00,IP DEDICADO,Mercado Livre - RJ Oeste Barra (Radio),12,RIO DE JANEIRO / RJ (RJO),RJ,RÁDIO,200
SKYNET PRESTACAO DE SERVICOS DE COMUNICACAO MULTIMIDIA LTDA,29,1.250.00,IP DEDICADO,SHOPEE,12,Guarulhos,SP,FIBRA,110
CTINET SOLUCOES EM CONECTIVIDADE E INFORMATICA LTDA,29,1.250.00,IP DEDICADO,SHOPEE,12,GUARULHOS,SP,FIBRA,110
SITELBRA SISTEMA DE TELECOMUNICACOES DO BRASIL LTDA,0,400.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,BRASILIA / DF (BSA),DF,FIBRA,10
NDX NET SERVICOS DE INFORMATICA LTDA,30,350.00,IP DEDICADO,JSL,0,RIO DE JANEIRO / RJ (RJO),RJ,RÁDIO,40
EI FIBRA TELECOMUNICACOES LTDA,32,200.00,IP BANDA LARGA,BANCO DO BRASIL,60,Brasília,DF,FIBRA,50
EI FIBRA TELECOMUNICACOES LTDA,32,200.00,IP BANDA LARGA,BANCO DO BRASIL,60,,,FIBRA,50
CORPORATIVA FIBER LTDA.,30,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,SARZEDO / MG (SRZE),MG,FIBRA,12
5 GNETT,30,400.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,CAXAMBU / MG (CAX),MG,FIBRA,12
UNIVERSAL TELECOM S.A.,/30,2.400.00,IP DEDICADO,Mercado Livre,36,São Paulo,SP,RÁDIO,202
MARVITEL TELECOMUNICACOES LTDA,30,630.00,IP DEDICADO,MOVIDA,36,ARACAJU,SE,FIBRA,52
SEBRATEL TECNOLOGIA LTDA,,390.00,L2L LAST MILE,TJRS,12,Porto Alegre,RS,FIBRA,50
EOS TELECOM LTDA,0,1.000.00,IP DEDICADO,JSL Limeira,0,LIMEIRA / SP (LRA),SP,RÁDIO,10
SEBRATEL TECNOLOGIA LTDA,n/a,280.00,L2L  LAST MILE,DASA,24,Sapucaia do Sul,RS,FIBRA,20
SIM INTERNET PROVEDORES DE INTERNET LTDA,0,200.00,IP DEDICADO,DIMED,0,POMERODE / SC (POD),SC,FIBRA,32
SIM INTERNET PROVEDORES DE INTERNET LTDA,0,200.00,IP DEDICADO,DIMED,0,BLUMENAU / SC (BNU),SC,FIBRA,32
